[Script Info]
; This is an Advanced Sub Station Alpha v4+ script.
;
; Advanced Sub Station Alpha script format developed by #Anime-Fansubs@EfNET
;
; Note: This file was saved by MPC-HC.
;
ScriptType: v4.00+
Collisions: Normal
ScaledBorderAndShadow: Yes
PlayResX: 1280
PlayResY: 720
Timer: 100.0000

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,Open Sans Semibold,45,&H00ffffff,&H000000ff,&H00020713,&H00000000,-1,0,0,0,100.00,100.00,0.00,0.00,1,1.70,0.00,2,10,10,15,1

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:31.48,0:00:33.27,Default,,0,0,0,,‫كيف حال المريضة؟‬
Dialogue: 0,0:00:33.36,0:00:37.15,Default,,0,0,0,,‫لم تستعد وعيها بعد.‬\N‫أعتقد أنها تعاني من ضربة شمس.‬
Dialogue: 0,0:00:37.73,0:00:39.74,Default,,0,0,0,,‫ضربة شمس؟‬
Dialogue: 0,0:00:39.95,0:00:42.11,Default,,0,0,0,,‫هذا صحيح. لقد انهرت، صحيح؟‬
Dialogue: 0,0:00:43.12,0:00:44.45,Default,,0,0,0,,‫أتساءل عما حدث.‬
Dialogue: 0,0:00:44.78,0:00:48.58,Default,,0,0,0,,‫حرصت على أن يظل جسمي رطباً وأن أنام جيداً...‬
Dialogue: 0,0:00:50.62,0:00:51.87,Default,,0,0,0,,‫يا لغبائي.‬
Dialogue: 0,0:00:53.13,0:00:54.84,Default,,0,0,0,,‫"فوكيوسي"! هل أنت بخير؟‬
Dialogue: 0,0:00:55.25,0:00:56.67,Default,,0,0,0,,‫"فوكيوسي"!‬
Dialogue: 0,0:00:59.05,0:01:03.18,Default,,0,0,0,,‫هل سيظل هذا التعبير على وجهه؟‬
Dialogue: 0,0:01:04.14,0:01:05.14,Default,,0,0,0,,‫لا أريد ذلك.‬
Dialogue: 0,0:01:05.93,0:01:09.52,Default,,0,0,0,,‫عملت جاهدة حتى أستمتع.‬
